timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749454789988,199,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-100,text,true,,1258,191,23,38,https://api.clickup.com/api/v2/user,199,0,94
1749454789970,220,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-1,text,true,,1258,191,23,38,https://api.clickup.com/api/v2/user,220,0,92
1749454790003,193,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-18,text,true,,1258,191,23,38,https://api.clickup.com/api/v2/user,193,0,89
1749454790005,196,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-19,text,true,,1257,191,23,38,https://api.clickup.com/api/v2/user,196,0,100
1749454790016,188,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-14,text,true,,1258,191,23,38,https://api.clickup.com/api/v2/user,188,0,95
1749454790013,204,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-20,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,204,0,103
1749454790016,221,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-9,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,221,0,92
1749454790028,209,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-8,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,209,0,102
1749454790025,212,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-11,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,212,0,105
1749454790034,206,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-16,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,206,0,98
1749454790019,225,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-17,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,225,0,100
1749454790039,215,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-15,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,215,0,100
1749454790039,215,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-4,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,215,0,103
1749454790064,196,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-12,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,196,0,101
1749454789988,276,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-10,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,276,0,116
1749454790064,201,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-3,text,true,,1258,191,23,39,https://api.clickup.com/api/v2/user,201,0,106
1749454790078,199,GetAuthorizedUser,200,OK,jp@gc - Ultimate Thread Group 2-7,text,true,,1257,191,23,39,https://api.clickup.com/api/v2/user,199,0,96
